,GLOBAL_ID,LOCAL_ID,processed_txt,date,_date_,WoY
1000,1000,1969,second system subway and legalized mushrooms,2021-08-10 15:53:43+00:00,2021-08-10,2021-32
1001,1001,1971,"i am at mta subway bay ridge ave (r) in new york, ny https: and and t.co and m319xptxjm",2021-08-10 15:37:24+00:00,2021-08-10,2021-32
1002,1002,1975,"i am at mta subway bay ridge ave (r) in new york, ny https: and and t.co and rreqcki1bm",2021-08-10 15:02:43+00:00,2021-08-10,2021-32
1003,1003,1979,texas lawmakers are derived of all the trash and nastiness from the nyc subway tracks https: and and t.co and 7fraqvjulv,2021-08-10 14:30:09+00:00,2021-08-10,2021-32
1004,1004,1980,"i am at mta subway hoyt and schermerhorn sts (a and c and g) in brooklyn, ny https: and and t.co and o6kyj1h91v",2021-08-10 14:28:16+00:00,2021-08-10,2021-32
1005,1005,1982,"i am at mta subway court st (r) in brooklyn, ny https: and and t.co and x6lntpwrd9 https: and and t.co and 3g5hslgeok",2021-08-10 14:17:02+00:00,2021-08-10,2021-32
1006,1006,1983,masks on the subway again?,2021-08-10 14:16:19+00:00,2021-08-10,2021-32
1007,1007,1984,all you had to do was follow the god damn train cj,2021-08-10 13:56:37+00:00,2021-08-10,2021-32
1008,1008,1985,"i forgot my keys this morning (roommates are home thank fuck) and had to get a cab to work because the only train that runs to morning baby's neighborhood was suspended, but how is your day?",2021-08-10 13:54:06+00:00,2021-08-10,2021-32
1009,1009,1987,"i am at mta subway borough hall and court st (r and 2 and 3 and 4 and 5) in brooklyn, ny https: and and t.co and 1fxxijfiul",2021-08-10 13:06:51+00:00,2021-08-10,2021-32
1010,1010,1988,"i am at mta subway nevins st (2 and 3 and 4 and 5) in brooklyn, ny https: and and t.co and 6rmdgnqbz2",2021-08-10 12:59:36+00:00,2021-08-10,2021-32
1011,1011,1989,subway out between 96th and 145th why does this city test my patience daily?,2021-08-10 12:55:50+00:00,2021-08-10,2021-32
1012,1012,1993,the b train is just dragging this am. what gives? cc,2021-08-10 12:27:09+00:00,2021-08-10,2021-32
1013,1013,1994,the 2 train waiting for another to train to pass at president street will never not irritate me,2021-08-10 12:25:43+00:00,2021-08-10,2021-32
1014,1014,1996,"i am at mta subway jay st and metrotech (a and c and f and r) in brooklyn, ny https: and and t.co and nor6xey54t",2021-08-10 12:13:32+00:00,2021-08-10,2021-32
1015,1015,1997,"buffalo billions, joe percopo, the bridge, the books, moreland, nursing homes, lga train, 2nd ave subway, etc etc. he robbed us of enormous time, monies, progress and people. and mostly received a pass because hes not a trump https: and and t.co and vw2yrnuxae",2021-08-10 12:07:49+00:00,2021-08-10,2021-32
1016,1016,1999,you know a train is too hot when the underground platform is slightly cooler in comparison.,2021-08-10 11:03:37+00:00,2021-08-10,2021-32
1017,1017,2001,hopping on the free ticket train to see in next month has been the highlight of my summer.,2021-08-10 10:55:41+00:00,2021-08-10,2021-32
1018,1018,2002,why is there no 3 train running at 6am to new lots ave? been waiting 1 hour for this train!!! this is just crazy!!!! when people have to be at work for 7am! every day is the same thing,2021-08-10 10:44:46+00:00,2021-08-10,2021-32
1019,1019,2003,why is it no 3 train running at 6am been waiting 45 minutes for this train is just crazy!!!!,2021-08-10 10:36:44+00:00,2021-08-10,2021-32
1020,1020,2004,the freight train coming through,2021-08-10 06:26:00+00:00,2021-08-10,2021-32
1021,1021,2008,"the fucking train came early, i missed it and i am ready to flip this whole train station upside down. every night a 22 minute train ride is over complicated by the stupid insipid minds who run the city and have zero regard for the commuter. like what the fuck are you all doing?!",2021-08-10 04:51:42+00:00,2021-08-10,2021-32
1022,1022,2010,"i am at mta subway 72nd st (1 and 2 and 3) in new york, ny https: and and t.co and 8xptx7vch6 https: and and t.co and olzbqegik6",2021-08-10 04:29:39+00:00,2021-08-10,2021-32
1023,1023,2011,"i am at mta bus broadway &amp; w 79 st (m79 and m104) in new york, ny https: and and t.co and tsmttaqszo",2021-08-10 04:02:03+00:00,2021-08-10,2021-32
1024,1024,2012,"i am at mta subway 79th st (1) in new york, ny https: and and t.co and aibc5liljt",2021-08-10 04:00:37+00:00,2021-08-10,2021-32
1025,1025,2013,"i am at mta bus w 81 st &amp; central park w (m10 and m79 and bxm2) in new york, ny https: and and t.co and c91kziwzc5",2021-08-10 03:52:40+00:00,2021-08-10,2021-32
1026,1026,2015,"took the subway for first time in 1.5 yrs, ate cupcakes, went for a run in the rain and watched a performance piece in central park... endure! a run woman show. central park https: and and t.co and bhbz7of9wt",2021-08-10 03:15:24+00:00,2021-08-10,2021-32
1027,1027,2020,best part of the subway is seeing so many different good and bad days on people's faces.,2021-08-10 02:19:10+00:00,2021-08-10,2021-32
1028,1028,2021,oh my god i had appointments in that building and for like a whole year i thought that was only the sandwich kind of subway,2021-08-10 02:09:43+00:00,2021-08-10,2021-32
1029,1029,2023,"i am at mta subway 81st st and museum of natural history (b and c) in new york, ny https: and and t.co and c1gvifszyv",2021-08-10 01:56:07+00:00,2021-08-10,2021-32
1030,1030,2024,"i am at mta subway 7th ave (b and d and e) in new york, ny https: and and t.co and t2lrbzhkrm",2021-08-10 01:42:33+00:00,2021-08-10,2021-32
1031,1031,2025,why is it so hot on the fucking subway brother,2021-08-10 01:36:31+00:00,2021-08-10,2021-32
1032,1032,2028,"i am at mta subway briarwood (e and f) in jamaica, ny https: and and t.co and u7xyukpje0",2021-08-10 01:03:46+00:00,2021-08-10,2021-32
1033,1033,2029,"i guy aggressively asked for my phone number on the train &amp; i was so blindsided i said ""no, thank you"" and he glared at me for two stops. i genuinely hate feeling anxiety over something like this.",2021-08-10 00:52:49+00:00,2021-08-10,2021-32
1034,1034,2030,is the google maps mta schedule ever going to be right again jw,2021-08-10 00:51:20+00:00,2021-08-10,2021-32
1035,1035,2031,"arrogance also, it is like standing in front of a speeding train and expecting god to make it stop!",2021-08-10 00:48:47+00:00,2021-08-10,2021-32
1036,1036,2033,"""i mean, you are not exactly wrong, but on the list of reasons to kick andrew cuomo out of office, the fuckery with the mta ranks below mass sexual harassment."" me, to an alter kocker at an m7 and m11 bus stop on the uws.",2021-08-10 00:33:45+00:00,2021-08-10,2021-32
1037,1037,2035,"i am at mta subway 74th st and roosevelt ave and jackson hts (7 and e and f and m and r) in elmhurst, ny https: and and t.co and 43ovh85vq7",2021-08-10 00:15:30+00:00,2021-08-10,2021-32
